0;(5.458903,5.323752,5.843765,5.130292,5.567864,5.557816,5.303821,5.890133,5.480893,6.038873)
1;(3.555672,5.115745,5.133346,5.634398,5.910656,3.937153,4.455137,4.841592,2.561699,2.511479)
2;(5.038821,3.848597,3.613640,4.589818,3.968855,3.465943,4.451826,3.611699,7.444327,4.057261)
3;(3.332089,4.977597,3.577280,3.466508,3.290111,6.439466,4.540620,3.429169,3.011088,6.293505)
4;(5.900834,2.799629,4.390732,3.070250,2.835218,2.601668,2.892122,5.140500,2.687674,3.584245)
5;(1.529675,3.040314,2.263158,2.922732,3.131579,3.011198,4.634378,1.797872,2.826988,2.655655)
6;(3.215686,1.078431,1.156863,2.627451,0.901961,1.019608,1.019608,1.372549,4.862745,1.960784)
7;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
8;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
9;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
10;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
11;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
12;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
13;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
14;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
15;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
16;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
17;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
18;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
19;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
20;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
21;(0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000)
